Close,High,Low,Open,Volume
SPY,SPY,SPY,SPY,SPY
625.845458984375,626.4981995520814,621.2463937026511,622.1562946160922,64357500
625.3212280273438,629.9993730574174,622.2156245224251,629.2674923107387,74205800
630.1972045898438,630.6620853000642,626.7949007710238,627.1114011688534,64051600
628.9510498046875,631.947873553624,627.70484826023,630.4742118551501,58742300
635.6468505859375,635.8050706066525,629.8114837326607,631.2950454377703,64730800
637.8228149414062,639.1085564704525,635.6370120856271,637.8425547169825,60092800
637.882080078125,638.5447207235369,635.300697252298,635.7457174616427,59327500
636.388671875,639.0096552004113,635.4787708739423,638.9107148606824,68592500
636.2501220703125,636.942462907598,635.1424008771667,635.814941575414,43804900
632.7984008789062,637.0512656505922,631.4829592777961,636.0721245937336,69750700
631.1170043945312,632.6500060324975,626.013578858981,632.3929060531275,88890300
628.5851440429688,630.978606926108,626.8642219548319,629.3071851926883,54805800
638.2381591796875,639.4151205943501,630.2664897119097,630.7709103705197,84083200
635.4292602539062,638.218363635622,635.3105801411765,636.9820621561176,51274300
638.0897827148438,638.4359833484747,634.5391586749303,635.1622594491828,51581600
639.543701171875,640.2755819843173,637.3578984386413,637.5062787617181,48341100
641.8085327148438,642.3623933153343,638.267809046051,640.146950913372,61519500
637.9810180664062,640.7404816664739,636.0919759234915,640.374480883152,74522200
633.25341796875,633.4709780533357,627.9620114164865,630.5137545728464,81983500
636.6853637695312,637.1502445176759,633.4413400681225,635.6270824559713,70820900
642.00634765625,642.0360478647699,636.4578416280056,637.3578424589464,65219200
640.14697265625,645.0625384730564,636.2798483910566,644.3404973975818,85178900
641.7195434570312,642.718484610511,640.1370415028089,641.5118230975241,63133100
643.203125,643.7272854003053,640.1271612550325,641.8579832056892,66133900
645.0625,647.3768223058731,643.4997982019892,646.4570213518696,78034500
650.4231567382812,651.1154976382888,646.4274520986086,647.0109525903231,69934400
650.2055053710938,651.8868873722256,649.7011451004063,650.3934256012134,72780100
653.6671752929688,653.795755474802,652.1144337731963,652.4111340519337,63772400
652.76708984375,654.5276118800496,651.9857691498868,654.2209512044083,61169000
651.9561157226562,654.4682584259048,647.1295902463727,652.7770367516476,101952200
655.0023803710938,657.603563340362,653.0341982051615,654.6364399867887,90459200
658.2465209960938,659.0895125014193,654.9438659954435,656.8877828567474,97945600
661.3606567382812,661.8069106980723,656.7289861632065,656.7587687117981,69452200
657.7606201171875,661.8566899635472,656.540685502851,661.2417286303936,81708900
655.6677856445312,659.1489540239103,654.2495430702726,659.0497999269948,68082200
652.6429443359375,653.9917550046746,649.0328388399253,652.5338627083877,89622100
656.3819580078125,656.9274266555326,652.4743298182361,654.0909412604747,69179200
658.2266845703125,659.8135740530697,656.4216318338509,658.9010899003678,73499000
660.7061157226562,661.1722852976668,656.173659297658,657.4828203674869,86288000
662.95751953125,663.8699431635192,657.611793334362,657.7208749627936,72545400
663.7210693359375,665.0600128657511,661.3011766397112,664.9410037342527,56896000
663.7112426757812,667.1527012490268,662.6698219114437,664.4848020775174,70494400
666.0914916992188,666.9841207809839,663.9591941673339,666.1014192164715,54623300
663.6219482421875,667.4601442579947,662.1838505424819,667.0138297258598,72020100
