Date,Close,High,Low,Open,Volume,Log Return,HV20,HV60
2025-08-07,625.3212280273438,629.9993730574174,622.2156245224251,629.2674923107387,74205800,-0.0008380849693998135,,
2025-08-08,630.1972045898438,630.6620853000642,626.7949007710238,627.1114011688534,64051600,0.007767311017072898,,
2025-08-11,628.9509887695312,631.9478122276477,627.7047873460086,630.474150672182,58742300,-0.0019794591832815807,,
2025-08-12,635.6467895507812,635.8050095563038,629.8114232578196,631.2949848204768,64730800,0.010589712348546611,,
2025-08-13,637.82275390625,639.10849531226,635.6369512596368,637.8424936799373,60092800,0.0034173828252364816,,
2025-08-14,637.882080078125,638.5447207235369,635.300697252298,635.7457174616427,59327500,9.300924530087265e-05,,
2025-08-15,636.3886108398438,639.0095939138803,635.4787099260534,638.9106535836406,68592500,-0.002344038723875428,,
2025-08-18,636.2501831054688,636.9425240091701,635.1424618060598,635.8150025688236,43804900,-0.00021754442121282353,,
2025-08-19,632.7984008789062,637.0512656505922,631.4829592777961,636.0721245937336,69750700,-0.005439966259085958,,
2025-08-20,631.1170043945312,632.6500060324975,626.013578858981,632.3929060531275,88890300,-0.002660617109700641,,
2025-08-21,628.5850830078125,630.9785456585483,626.864161086776,629.3071240874224,54805800,-0.0040198787023870254,,
2025-08-22,638.2381591796875,639.4151205943501,630.2664897119097,630.7709103705197,84083200,0.015240110357538828,,
2025-08-25,635.4292602539062,638.218363635622,635.3105801411765,636.9820621561176,51274300,-0.004410733032418605,,
2025-08-26,638.0897216796875,638.4359222802034,634.5390979794016,635.1621986940528,51581600,0.004178132142168754,,
2025-08-27,639.5436401367188,640.2755208793137,637.3578376120881,637.5062179210042,48341100,0.0022759566681472393,,
2025-08-28,641.8085327148438,642.3623933153343,638.267809046051,640.146950913372,61519500,0.003535163844696036,,
2025-08-29,637.98095703125,640.7404203673219,636.0919150690585,640.374419619015,74522200,-0.005981588576274999,,
2025-09-02,633.2533569335938,633.4709169972102,627.9619508913343,630.5136938017484,81983500,-0.007437844999217563,,
