Date,Close,High,Low,Open,Volume,Simple Return,Log Return
2025-07-28,629.9598388671875,631.0477599275997,628.5751571845921,630.4938993278172,54917100,-0.0002511658677887274,-0.00025119741521783395
2025-07-29,628.29833984375,631.670943868378,627.388438817005,631.3544434316219,60556300,-0.0026374681700745972,-0.0026409524169906454
2025-07-30,627.5070190429688,630.6917023127537,624.6189756546709,628.9509803708415,80418900,-0.0012594666428340506,-0.0012602604375215438
2025-07-31,625.1531372070312,632.8379457731452,623.8574957354674,632.4522656090571,103385200,-0.003751164153554032,-0.003758217413957386
2025-08-01,614.9066772460938,619.4761032114768,612.5033143296554,619.4365029283234,140103600,-0.01639031998897922,-0.016526127278378714
2025-08-04,624.2530517578125,624.3024917393647,618.7243458354196,618.813325728958,73218000,0.015199663392138074,0.015085305849957983
2025-08-05,621.088134765625,625.6773001361546,620.1683337507773,624.866279158634,68051400,-0.005069926343612585,-0.00508282202541377
2025-08-06,625.845458984375,626.4981995520814,621.2463937026511,622.1562946160922,64357500,0.007659660445043404,0.007630474189105244
2025-08-07,625.3212280273438,629.9993730574174,622.2156245224251,629.2674923107387,74205800,-0.000837636431655131,-0.0008379874450790588
2025-08-08,630.1972045898438,630.6620853000642,626.7949007710238,627.1114011688534,64051600,0.007797554830949682,0.007767311017072898
2025-08-11,628.9509887695312,631.9478122276477,627.7047873460086,630.474150672182,58742300,-0.0019775013459851776,-0.0019794591832815807
2025-08-12,635.6468505859375,635.8050706066525,629.8114837326607,631.2950454377703,64730800,0.010646078845516938,0.01058980836909497
2025-08-13,637.82275390625,639.10849531226,635.6369512596368,637.8424936799373,60092800,0.003423132386020322,0.003417286804688239
2025-08-14,637.882080078125,638.5447207235369,635.300697252298,635.7457174616427,59327500,9.301357079483097e-05,9.300924530087265e-05
2025-08-15,636.388671875,639.0096552004113,635.4787708739423,638.9107148606824,68592500,-0.0023411979263346927,-0.0023439428152555583
2025-08-18,636.2501220703125,636.942462907598,635.1424008771667,635.814941575414,43804900,-0.00021771255650937515,-0.00021773625932833604
2025-08-19,632.7984008789062,637.0512656505922,631.4829592777961,636.0721245937336,69750700,-0.00542510102815319,-0.005439870329590304
2025-08-20,631.1170043945312,632.6500060324975,626.013578858981,632.3929060531275,88890300,-0.002657080804944645,-0.002660617109700641
2025-08-21,628.5851440429688,630.978606926108,626.8642219548319,629.3071851926883,54805800,-0.004011713095880665,-0.004019781603116135
2025-08-22,638.2380981445312,639.4150594466402,630.2664294390896,630.7708500494616,84083200,0.015356637351427116,0.01523991762757209
2025-08-25,635.4292602539062,638.218363635622,635.3105801411765,636.9820621561176,51274300,-0.004400924825375907,-0.004410637401722862
2025-08-26,638.0897216796875,638.4359222802034,634.5390979794016,635.1621986940528,51581600,0.004186872705103539,0.004178132142168754
2025-08-27,639.543701171875,640.2755819843173,637.3578984386413,637.5062787617181,48341100,0.002278644276482167,0.002276052103625867
2025-08-28,641.8085327148438,642.3623933153343,638.267809046051,640.146950913372,61519500,0.003541324132844581,0.0035350684092173997
2025-08-29,637.9810180664062,640.7404816664739,636.0919759234915,640.374480883152,74522200,-0.005963639392962183,-0.005981492907034908
2025-09-02,633.2533569335938,633.4709169972102,627.9619508913343,630.5136938017484,81983500,-0.007410347641911175,-0.007437940668457636
2025-09-03,636.6853637695312,637.1502445176759,633.4413400681225,635.6270824559713,70820900,0.005419642546478309,0.005405009131919811
2025-09-04,642.00634765625,642.0360478647699,636.4578416280056,637.3578424589464,65219200,0.008357320883294106,0.008322591837480268
2025-09-05,640.14697265625,645.0625384730564,636.2798483910566,644.3404973975818,85178900,-0.0028961941058495144,-0.0029003961913302155
2025-09-08,641.7195434570312,642.718484610511,640.1370415028089,641.5118230975241,63133100,0.0024565777359784047,0.0024535652814358087
2025-09-09,643.203125,643.7272854003053,640.1271612550325,641.8579832056892,66133900,0.0023118846201510834,0.0023092163266358
2025-09-10,645.0625,647.3768223058731,643.4997982019892,646.4570213518696,78034500,0.002890805295761023,0.002886634953297581
